	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4/G5	BN	ST
1304706_00	1304706	1047.0	0.6103151862464183	0.7261363636363637	0.8413429888084267	G3	167	639	82	159	0
1304732_00	1304732	2720.0	0.36176470588235293	0.39935064935064934	0.5707656612529002	G3	256	984	997	483	0
1304700_00	1304700	872.0	0.6043577981651376	0.6989389920424404	0.8227946916471508	G3	118	527	29	198	0
1305445_00	1305445	1729.0	0.7270098322729902	0.8130659767141009	0.8968961826614341	G4/G5	183	27	1257	262	0
1304716_00	1304716	1343.0	0.48399106478034254	0.5462184873949579	0.7065217391304348	G3	153	650	61	479	0
1304717_00	1304717	1384.0	0.4602601156069364	0.5104166666666666	0.6758620689655173	G3	136	637	346	263	0
1305475_00	1305475	9171.0	0.5785628611928907	0.8533290447089096	0.9208608122179799	G4/G5	2953	435	5306	477	0
1305473_00	1305473	4061.0	0.25486333415414925	0.3580076098235905	0.5272542027508915	G4/G5	1170	1488	1035	368	0
1305485_00	1305485	2970.0	0.4457912457912458	0.789505068574836	0.882372542485838	G4/G5	1293	121	1324	232	0
1305453_00	1305453	2415.0	0.08819875776397515	0.1406869220607662	0.246670526925304	G4/G5	901	885	213	416	0
1305480_00	1305480	3872.0	0.5601756198347108	0.731041456016178	0.8446261682242991	G4/G5	905	141	2169	657	0
1305459_00	1305459	5556.0	0.4613030957523398	0.7639344262295082	0.8661710037174722	G4/G5	2201	90	2563	702	0
1305477_00	1305477	503.0	0.2544731610337972	0.419672131147541	0.5912240184757506	G4/G5	198	95	128	82	0
1305477_01	1305477	684.0	0.1915204678362573	0.2625250501002004	0.4158730158730159	G4/G5	185	177	131	191	0
1304702_00	1304702	529.0	0.6408317580340265	0.7259100642398287	0.8411910669975186	G3	62	339	42	86	0
1305451_00	1305451	767.0	0.5136897001303781	0.5811209439528023	0.7350746268656716	G4/G5	89	262	394	22	0
1305444_00	1305444	702.0	0.7250712250712251	0.8441127694859039	0.9154676258992805	G4/G5	99	27	509	67	0
1305444_01	1305444	743.0	0.6944818304172274	0.7938461538461539	0.8850771869639794	G4/G5	93	23	516	111	0
1305449_00	1305449	5397.0	0.40503983694645174	0.5230916487197894	0.6868813825608798	G4/G5	1218	1136	2186	857	0
1305474_00	1305474	4808.0	0.6909317803660566	0.9526813880126183	0.9757673667205169	G4/G5	1321	17	3322	148	0
1305495_00	1305495	3529.0	0.5358458486823463	0.7378072571205618	0.8491243825774585	G4/G5	966	429	1891	243	0
1304705_00	1304705	742.0	0.5148247978436657	0.6858168761220825	0.8136315228966986	G3	185	382	111	64	0
1305478_00	1305478	1987.0	0.44690488173125315	0.6641735228122663	0.7982022471910112	G4/G5	650	162	888	287	0
1304711_00	1304711	2022.0	0.41097922848664686	0.5664621676891616	0.7232375979112272	G3	555	831	347	289	0
1305461_00	1305461	1332.0	0.4016516516516517	0.5679405520169851	0.7244414353419093	G4/G5	390	278	535	129	0
1305496_00	1305496	2863.0	0.46280125742228434	0.6047466910086718	0.7536973833902162	G4/G5	672	686	1325	180	0
1305489_00	1305489	754.0	0.5384615384615384	0.6506410256410257	0.7883495145631069	G4/G5	130	34	406	184	0
1305489_01	1305489	1816.0	0.6266519823788547	0.7864547339322737	0.8804642166344294	G4/G5	369	24	1138	285	0
1305489_02	1305489	693.0	0.6392496392496393	0.8895582329317269	0.9415515409139213	G4/G5	195	2	443	53	0
1305448_00	1305448	6221.0	0.49429352194181	0.6434400502197113	0.783040488922842	G4/G5	1442	517	3075	1187	0
1304723_00	1304723	629.0	0.3354531001589825	0.4228456913827655	0.5943661971830987	G3	130	211	36	252	0
1305482_00	1305482	1826.0	0.46276013143483025	0.7173174872665535	0.8353929807217004	G4/G5	648	70	845	263	0
